self_1,s1,self_2,s2,self_3,s3,self_4,s4,self_5,s5,self_6,s6,self_7,s7,self_8,s8,self_9,s9,self_10,s10
I am a woman.,C,I am an American.,C,I am a daughter.,R,I am a college student.,C,I am Christian.,C,I am an athlete.,C,I am a music lover.,C,I am a gamer.,C,I am an artist.,C,I am an environmentalist.,C
I am female.,C,I am male.,C,I am Jewish.,C,I am Christian.,C,I am straight.,C,I am gay.,C,I am young.,C,I am an American citizen.,C,I am a member of a certain political party.,C,I am from a specific state in the U.S.,C
I am a son/daughter,R,I am a sibling,R,I am a student,C,I am a friend,R,I am an athlete,C,I am a musician,C,I am a writer,C,I am a worker,C,I am a traveler,C,I am a dreamer,C
I am a female.,C,I am a Christian.,C,I am an American.,C,I am a teacher.,C,I am a Democrat.,C,I am a sports fan.,C,I am a lover of animals.,C,I am a left-handed.,C,I am an introvert.,C,I am a musician.,C
I am a female.,C,I am a student.,C,I am a Christian.,C,I am an American.,C,I am a traveler.,C,I am a family member.,R,I am an artist.,C,I am a volunteer.,C,I am a role model.,C,I am an entrepreneur.,C
I am a daughter,R,I am a son,R,I am a sister,R,I am a brother,R,I am a student,C,I am an employee,C,I am a friend,R,I am a parent,R,I am a professional,C,I am an artist,C
I am of a particular gender,C,I am a certain age,C,I am a certain ethnicity,C,I am a member of a certain religion,C,I am a certain sexual orientation,C,I am a certain body type,C,I am a certain level of education,C,I am of a certain nationality,C,I am of a certain political persuasion,C,I am a certain occupation,C
I am a mother.,R,I am a student.,C,I am an employee.,C,I am a Christian.,C,I am an athlete.,C,I am a volunteer.,C,I am a friend.,R,I am a writer.,C,I am a gamer.,C,I am a musician.,C
I am a Christian.,C,I am a student.,C,I am an engineer.,C,I am a writer.,C,I am a dancer.,C,I am an artist.,C,I am a mother/father.,R,I am a sports lover.,C,I am a musician.,C,I am a business owner.,C
I am an American,C,I am a father,R,I am a sister,R,I am Christian,C,I am a leader,C,I am a teacher,C,I am an athlete,C,I am a friend,R,I am an artist,C,I am a writer,C
I am an artist,C,I am a volunteer,C,I am a parent,R,I am a writer,C,I am a teacher,C,I am a student,C,I am a gardener,C,I am a reader,C,I am a photographer,C,I am a traveler,C
I am a human being.,C,I am a woman.,C,I am a man.,C,I am a student.,C,I am a teacher.,C,I am a parent.,R,I am an artist.,C,I am an athlete.,C,I am a musician.,C,I am a businessperson.,C
I am a male.,C,I am a college student.,C,I am a musician.,C,I am an artist.,C,I am a Christian.,C,I am an introvert.,C,I am an athlete.,C,I am a movie buff.,C,I am an outdoors enthusiast.,C,I am a volunteer.,C
I am an athlete.,C,I am a parent.,R,I am a scientist.,C,I am a student.,C,I am a musician.,C,I am a teacher.,C,I am a entrepreneur.,C,I am a doctor.,C,I am an artist.,C,I am a religious practitioner.,C
I am a man.,C,I am a woman.,C,I am a son.,R,I am a daughter.,R,I am white.,C,I am black.,C,I am a Christian.,C,I am an artist.,C,I am an athlete.,C,I am a student.,C
I am a student.,C,I am a male.,C,I am a daughter.,R,I am an athlete.,C,I am a musician.,C,I am an artist.,C,I am a teacher.,C,I am a consumer.,C,I am a businessman.,C,I am a writer.,C
I am a female,C,I am a daughter,R,I am a student,C,I am a friend,R,I am an artist,C,I am a sister,R,I am a lover,C,I am a dreamer,C,I am a believer,C,I am a runner,C
I am female.,C,I am a Christian.,C,I am a 21 year old college student.,C,I am a small business owner.,C,I am an avid reader.,C,I am a proud parent.,R,I am a veteran.,C,I am a professional athlete.,C,I am the middle child.,R,I am a person of color.,C
I am a female,C,I am a college student,C,I am an introvert,C,I am an artist,C,I am a Christian,C,I am mid-thirties,C,I am a runner,C,I am a scientist,C,I am a published author,C,I am a chef,C
I am a friend.,R,I am a brother/sister.,R,I am a student.,C,I am a cook.,C,I am a creative thinker.,C,I am a writer.,C,I am a mentor.,C,I am a Christian.,C,I am a musician.,C,I am an athlete.,C
I am a medical professional.,C,I am a student.,C,I am a parent.,R,I am an artist.,C,I am a businessperson.,C,I am a traveller.,C,I am a teacher.,C,I am a home-owner.,C,I am an athlete.,C,I am an entrepreneur.,C
I am a son.,R,I am a daughter.,R,I am a student.,C,I am a professional.,C,I am a homeowner.,C,I am a member of a faith community.,C,I am a volunteer.,C,I am a traveler.,C,I am a hobbyist.,C,I am an artist.,C
I am a parent.,R,I am a sibling.,R,I am a student.,C,I am a colleague.,R,I am a friend.,R,I am an athlete.,C,I am a neighbor.,R,I am a volunteer.,C,I am a professor.,C,I am an artist.,C
I am a son/daughter.,R,I am a sibling.,R,I am a student.,C,I am a worker.,C,I am a citizen.,C,I am a religious person.,C,I am from a certain family.,C,I am from a particular cultural background.,C,I am a hobbyist.,C,I am a volunteer.,C
I am a student.,C,I am an artist.,C,I am a musician.,C,I am a writer.,C,I am an athlete.,C,I am a teacher.,C,I am a scientist.,C,I am a doctor.,C,I am a businessperson.,C,I am a chef.,C
I am a loyal friend.,R,I am an avid novel reader.,C,I am an optimist.,C,I am a listener.,C,I am ambitious.,C,I am creative.,C,I am compassionate.,C,I am a learner.,C,I am a risk-taker.,C,I am comfortable with being uncomfortable.,C
I am a student.,C,I am a mom.,R,I am a friend.,R,I am an employed individual.,C,I am a gamer.,C,I am a runner.,C,I am a writer.,C,I am a volunteer.,C,I am a vegan.,C,I am a college graduate.,C
I am a female.,C,I am a sibling.,R,I am a daughter.,R,I am a student.,C,I am an employee.,C,I am a friend.,R,I am an artist.,C,I am a musician.,C,I am a sports enthusiast.,C,I am a traveler.,C
I am a daughter/son.,R,I am a student.,C,I am a reader.,C,I am an artist.,C,I am a writer.,C,I am a cook.,C,I am a friend.,R,I am a teacher.,C,I am a gamer.,C,I am a mentor.,C
I am a female.,C,I am a wife.,R,I am a daughter.,R,I am a mother.,R,I am an artist.,C,I am a chef.,C,I am a science enthusiast.,C,I am a teacher.,C,I am a friend.,R,I am a global citizen.,C
I am a woman.,C,I am a parent.,R,I am a student.,C,I am a teacher.,C,I am a friend.,R,I am an employer.,C,I am an employee.,C,I am a Christian.,C,I am a Democrat.,C,I am an artist.,C
I am a woman.,C,I am a teacher.,C,I am a student.,C,I am a musician.,C,I am an artist.,C,I am a parent.,R,I am a Christian.,C,I am a lover of languages.,C,I am a jogger.,C,I am a reader.,C
I am a mother.,R,I am an artist.,C,I am a teacher.,C,I am a student.,C,I am a musician.,C,I am a scientist.,C,I am an athlete.,C,I am an entrepreneur.,C,I am a writer.,C,I am a feminist.,C
I am a man.,C,I am an engineer.,C,I am a Christian.,C,I am a mother.,R,I am a student.,C,I am an athlete.,C,I am an artist.,C,I am a friend.,R,I am a teacher.,C,I am a business person.,C
I am a student.,C,I am a daughter/son.,R,I am a Friend.,R,I am a professional.,C,I am an introvert.,C,I am a home maker.,C,I am a student leader.,C,I am an artist.,C,I am a pet owner.,C,I am an athlete.,C
I am an artist.,C,I am a teacher.,C,I am a parent.,R,I am a student.,C,I am an entrepreneur.,C,I am a volunteer.,C,I am an athlete.,C,I am a musician.,C,I am a writer.,C,I am a scientist.,C
I am a Christian.,C,I am a student.,C,I am an artist.,C,I am a professional.,C,I am a writer.,C,I am an athlete.,C,I am a musician.,C,I am a teacher.,C,I am a parent.,R,I am a volunteer.,C
I am a woman.,C,I am an optimist.,C,I am a musician.,C,I am an athlete.,C,I am an artist.,C,I am a student.,C,I am a leader.,C,I am a teacher.,C,I am a reader.,C,I am a friend.,R
I am a son or daughter.,R,I am a student.,C,I am an employee,C,I am a sibling.,R,I am a friend.,R,I am a believer.,C,I am an activist.,C,I am a citizen.,C,I am an organizer.,C,I am an adventurer.,C
I am a student.,C,I am a parent.,R,I am a teacher.,C,I am an entrepreneur.,C,I am a leader.,C,I am a coach.,C,I am an artist.,C,I am an activist.,C,I am a religious person.,C,I am a mentor.,C
I am a student.,C,I am an artist.,C,I am a musician.,C,I am a sport enthusiast.,C,I am a culinarian.,C,I am a political activist.,C,I am an entrepreneur.,C,I am a philanthropist.,C,I am a fashionista.,C,I am a technophile.,C
I am a woman.,C,I am a man.,C,I am a parent.,R,I am an artist.,C,I am a student.,C,I am an athlete.,C,I am an employee.,C,I am a music fan.,C,I am a foodie.,C,I am a reader.,C
I am a woman.,C,I am an artist.,C,I am a student.,C,I am a teacher.,C,I am an athlete.,C,I am curious.,C,I am a parent.,R,I am a musician.,C,I am a friend.,R,I am a philosopher.,C
I am a man/woman/other.,C,I am a son/daughter.,R,I am an uncle/aunt.,R,I am a friend.,R,I am a spouse.,R,I am a philosopher.,C,I am a student.,C,I am an entrepreneur.,C,I am an artist.,C,I am a professional.,C
I am an activist.,C,I am a mother.,R,I am a Christian.,C,I am an artist.,C,I am an athlete.,C,I am a student.,C,I am a defender of human rights.,C,I am a feminist.,C,I am a veteran.,C,I am a scientist.,C
I am a female.,C,I am a Christian.,C,I am a mother.,R,I am a runner.,C,I am an artist.,C,I am an accountant.,C,I am a student.,C,I am a manager.,C,I am an employee.,C,I am a teacher.,C
I am a son/daughter,R,I am a student,C,I am a parent,R,I am a friend,R,I am an entrepreneur,C,I am a professional,C,I am a neighbor,R,I am a co-worker,C,I am a volunteer,C,I am a hobbyist,C
I am a mother/father.,R,I am a student.,C,I am an athlete.,C,I am a teacher.,C,I am a writer.,C,I am an activist.,C,I am a vegetarian.,C,I am an artist.,C,I am an entrepreneur.,C,I am a gamer.,C
I am a male.,C,I am married.,C,I am a parent.,R,I am an employee.,C,I am a student.,C,I am a friend.,R,I am a Christian.,C,I am an artist.,C,I am a musician.,C,I am a runner.,C
I am male.,C,I am female.,C,I am Christian.,C,I am Jewish.,C,I am Asian.,C,I am Hispanic.,C,I am a college student.,C,I am a mother.,R,I am a father.,R,I am a veteran.,C
I am a son/daughter.,R,I am a friend.,R,I am a student.,C,I am a citizen.,C,I am a worker.,C,I am an artist.,C,I am a volunteer.,C,I am a leader.,C,I am a believer.,C,I am an athlete.,C
I am a daughter/son.,R,I am a friend.,R,I am a parent.,R,I am a partner.,R,I am a sibling.,R,I am an individual.,C,I am a student.,C,I am an employee.,C,I am a team member.,C,I am an enthusiast.,C
I am an American citizen.,C,I am a student.,C,I am female.,C,I am a dancer.,C,I am a Christian.,C,I am a member of a political party.,C,I am a singer.,C,I am a vegan.,C,I am an artist.,C,I am a writer.,C
I am a Christian.,C,I am an American.,C,I am a student.,C,I am a son/daughter.,R,I am a friend.,R,I am an artist.,C,I am an employee.,C,I am a hobbyist.,C,I am a teacher.,C,I am an athlete.,C
I am a daughter/son,R,I am a sister/brother,R,I am a student,C,I am a worker,C,I am a friend,R,I am a teacher,C,I am a coach,C,I am a traveler,C,I am a reader,C,I am an artist,C
I am an American.,C,I am an artist.,C,I am a mother.,R,I am a science lover.,C,I am a student.,C,I am a musician.,C,I am an animal rights activist.,C,I am a Democrat.,C,I am a wine connoisseur.,C,I am a writer.,C
I am a woman.,C,I am a parent.,R,I am an artist.,C,I am a student.,C,I am a teacher.,C,I am a musician.,C,I am a runner.,C,I am a gamer.,C,I am a business owner.,C,I am a writer.,C
I am a father.,R,I am an uncle.,R,I am a lawyer.,C,I am an engineer.,C,I am an artist.,C,I am a doctor.,C,I am a cook.,C,I am a teacher.,C,I am a student.,C,I am an entrepreneur.,C
I am female.,C,I am black.,C,I am a Christian.,C,I am a parent.,R,I am a college graduate.,C,I am an athlete.,C,I am an artist.,C,I am a liberal.,C,I am a scientist.,C,I am a musician.,C
I am a student.,C,I am a parent.,R,I am an artist.,C,I am a worker.,C,I am a writer.,C,I am a professional.,C,I am a traveler.,C,I am a musician.,C,I am a philosopher.,C,I am an activist.,C
I am a girl,C,I am a son,R,I am a student,C,I am a Christian,C,I am an artist,C,I am a carpenter,C,I am a registered nurse,C,I am a volunteer,C,I am a Democrat,C,I am a golfer,C
I am a female,C,I am a person of color,C,I am a religious person,C,I am a parent,R,I am an adult,C,I am a student,C,I am a professional,C,I am an artist,C,I am an athlete,C,I am an entrepreneur,C
I am a son/daughter,R,I am a student,C,I am a friend,R,I am a colleague,R,I am a neighbor,R,I am a lover,C,I am an athlete,C,I am a musician,C,I am a risk-taker,C,I am a dreamer,C
I am a Daughter/Son.,R,I am a Sister/Brother.,R,I am a Friend.,R,I am a Student.,C,I am a Worker.,C,I am a Parent.,R,I am an Artist.,C,I am an Athlete.,C,"I am a Christian/Jew/Muslim, etc.",C,I am a Citizen of a particular nation.,C
I am a woman.,C,I am a person of color.,C,I am transgender.,C,I am a teacher.,C,I am a parent.,R,I am a student.,C,I am an artist.,C,I am an athlete.,C,I am religious.,C,I am bilingual.,C
I am a daughter/son/parent,R,I am a Christian/Muslim/Hindu/Jew/etc.,C,I am a student/teacher/businessperson,C,I am an artist/actor/musician/writer,C,I am a caregiver/lawyer/accountant,C,I am a chef/dentist/nurse,C,I am a Democrat/Republican/Independent,C,I am a scientist/engineer/programmer,C,I am an athlete/financier/entrepreneur,C,I am a traveler/family member/friend,R
I am a mother or father.,R,I am an adult.,C,I am a student.,C,I am Caucasian.,C,I am a retiree.,C,I am a veteran.,C,I am an entrepreneur.,C,I am an artist.,C,I am a professional.,C,I am religious.,C
I am a man (or woman).,C,I am an American (or nationality).,C,I am a father (or mother).,R,I am an artist.,C,I am a teacher.,C,I am a student.,C,I am a scientist.,C,I am a surfer.,C,I am a passionate reader.,C,I am a runner.,C
I am a woman.,C,I am someone who loves animals.,C,I am an extrovert.,C,I am a Christian.,C,I am a student.,C,I am from South Carolina.,C,I am a sister.,R,I am a friend.,R,I am an optimist.,C,I am a Democrat.,C
I am a son.,R,I am a daughter.,R,I am a husband.,R,I am a wife.,R,I am a student.,C,I am an artist.,C,I am a programmer.,C,I am a cook.,C,I am an entrepreneur.,C,I am a teacher.,C
I am a mother.,R,I am a student.,C,I am an artist.,C,I am a therapist.,C,I am an athlete.,C,I am a professor.,C,I am a businessman.,C,I am a musician.,C,I am a scientist.,C,I am a teacher.,C
I am a parent,R,I am an artist,C,I am a volunteer,C,I am a student,C,I am a professional,C,I am an athlete,C,I am a musician,C,I am a garden enthusiast,C,I am a political activist,C,I am a voracious reader,C
I am a woman.,C,I am a man.,C,I am a parent.,R,I am a student.,C,I am an artist.,C,I am a musician.,C,I am an athlete.,C,I am a teacher.,C,I am a professional.,C,I am a friend.,R
I am a female.,C,I am a son.,R,I am an Asian.,C,I am a Christian.,C,I am a student.,C,I am an employee.,C,I am a friend.,R,I am a neighbor.,R,I am a relative.,R,I am a musician.,C
I am a woman,C,I am a mother,R,I am a Christian,C,I am a citizen of the United States,C,I am a student,C,I am a teacher,C,I am an artist,C,I am a nurse,C,I am a lover of music,C,I am a business owner,C
I am a coffee lover.,C,I am a traveler.,C,I am a yoga enthusiast.,C,I am a music enthusiast.,C,I am a foodie.,C,I am a nature-lover.,C,I am a book-worm.,C,I am a cyclist.,C,I am a movie buff.,C,I am a puzzler.,C
I am male/female.,C,I am gay/straight/bisexual.,C,I am young/middle-aged/elderly.,C,I am a parent/non-parent.,R,I am a student/teacher/employee.,C,I am left-handed/right-handed.,C,I am tall/short.,C,I am an introvert/extrovert.,C,I am art enthusiast/sports enthusiast.,C,I am tech savvy/not tech savvy.,C
I am a student.,C,I am a mother.,R,I am an employee.,C,I am a priest.,C,I am a veteran.,C,I am an artist.,C,I am a scientist.,C,I am a coach.,C,I am an entrepreneur.,C,I am a philanthropist.,C
I am a father.,R,I am a daughter.,R,I am a student.,C,I am an athlete.,C,I am an artist.,C,I am a scientist.,C,I am a spiritualist.,C,I am an entrepreneur.,C,I am a musician.,C,I am a cook.,C
I am a mother,R,I am a nurse,C,I am an engineer,C,I am a student,C,I am a teacher,C,I am an artist,C,I am a musician,C,I am an entrepreneur,C,I am a gardener,C,I am a vegan,C
I am a student,C,I am an employee,C,I am a parent,R,I am a son or daughter,R,I am a friend,R,I am a spouse,R,I am a sibling,R,I am a volunteer,C,I am a neighbor,R,I am a church member,C
I am a human being.,C,I am female.,C,I am a wife.,R,I am a mother.,R,I am a teacher.,C,I am a green card holder.,C,I am a homeowner.,C,I am a volunteer.,C,I am a Christian.,C,I am an American.,C
I am a reader.,C,I am an artist.,C,I am a writer.,C,I am a student.,C,I am a musician.,C,I am a teacher.,C,I am a parent.,R,I am an athlete.,C,I am a traveler.,C,I am a volunteer.,C
I am a parent.,R,I am a sibling.,R,I am a friend.,R,I am an employee.,C,I am a student.,C,I am a hobbyist.,C,I am a sports enthusiast.,C,I am an artist.,C,I am a traveler.,C,I am an activist.,C
"I am my gender identity (male, female, etc.)",C,I am my age,C,I am my race,C,I am my occupation,C,I am my nationality,C,I am my political and religious views,C,I am my style and clothing,C,I am my sense of humor,C,I am my linguistic abilities and dialect,C,I am my values and beliefs.,C
I am an avid reader.,C,I am a runner.,C,I am a painter.,C,I am religious.,C,I am married.,C,I am an animal lover.,C,I am a vegan.,C,I am a historian.,C,I am a creative.,C,I am a parent.,R
I am a gender fluid individual.,C,I am a vegan.,C,I am a father.,R,I am an artist.,C,I am an animal lover.,C,I am an outdoors enthusiast.,C,I am a musician.,C,I am a new student.,C,I am a writer.,C,I am a Yoga practitioner.,C
I am a woman.,C,I am a daughter.,R,I am a sister.,R,I am a student.,C,I am a musician.,C,I am an artist.,C,I am a Christian.,C,I am a citizen of the United States.,C,I am an entrepreneur.,C,I am a health advocate.,C
I am a mother/father.,R,I am a student.,C,I am a teacher.,C,I am a healthcare provider.,C,I am a volunteer.,C,I am an athlete.,C,I am a scientist.,C,I am a writer.,C,I am an artist.,C,I am a lawyer.,C
I am a mother.,R,I am an artist.,C,I am an athlete.,C,I am a student.,C,I am a friend.,R,I am a teacher.,C,I am a sister.,R,I am a singer.,C,I am a writer.,C,I am a traveler.,C
I am a daughter/son.,R,I am a mother/father.,R,I am a sister/brother.,R,I am a friend.,R,I am an artist.,C,I am a student.,C,I am a professional.,C,I am an athlete.,C,I am a mentor.,C,I am a religious person.,C
I am a son/daughter.,R,I am a married person.,C,I am employed.,C,I am a student.,C,I am an athlete.,C,I am a volunteer.,C,I am an artist.,C,I am an animal lover.,C,I am a religious person.,C,I am a gamer.,C
I am a student.,C,I am an artist.,C,I am a parent.,R,I am a musician.,C,I am an entrepreneur.,C,I am a runner.,C,I am a writer.,C,I am a hobbyist.,C,I am a teacher.,C,I am a volunteer.,C
I am a woman.,C,I am a student.,C,I am a sister.,R,I am an athlete.,C,I am a Christian.,C,I am a volunteer.,C,I am a musician.,C,I am an immigrant.,C,I am a vegan.,C,I am an artist.,C
I am a woman.,C,I am a Christian.,C,I am an athlete.,C,I am a student.,C,I am a son/daughter.,R,I am a student leader.,C,I am a teacher.,C,I am a volunteer.,C,I am a writer.,C,I am a creative problem solver.,C
I am a human being.,C,I am an American citizen.,C,I am a Christian.,C,I am a son.,R,I am a daughter.,R,I am a husband.,R,I am a wife.,R,I am a parent.,R,I am a professional.,C,I am an artist.,C
I am a son/daughter.,R,I am a brother/sister.,R,I am an aunt/uncle.,R,I am a student.,C,I am an employee.,C,I am a volunteer.,C,I am a friend.,R,I am a teacher.,C,I am a business owner.,C,I am a boss.,C
I am a woman,C,I am a mother,R,I am a friend,R,I am a Christian,C,I am an artist,C,I am a teacher,C,I am a sports enthusiast,C,I am a traveler,C,I am a professional,C,I am a writer,C
I am a person.,C,I am an average American.,C,I am a man/woman.,C,I am an alumna/alumnus of a certain university.,C,I am a parent.,R,I am a Christian.,C,I am a traveler.,C,I am an artist.,C,I am a sports fan.,C,I am a member of a certain community.,C
I am a college student.,C,I am an activist.,C,I am a homeowner.,C,I am a pet owner.,C,I am a traveler.,C,I am a blogger.,C,I am a teacher.,C,I am a business owner.,C,I am an artist.,C,I am a religious leader.,C
I am a son/daughter.,R,I am a friend.,R,I am a student.,C,I am a colleague.,R,I am a sibling.,R,I am an uncle/aunt.,R ,I am a neighbor.,R,I am a spouse.,R,I am a pal.,C,I am a dreamer.,C
I am a student.,C,I am a father.,R,I am a sister.,R,I am an artist.,C,I am a democrat.,C,I am a software developer.,C,I am a writer.,C,I am an entrepreneur.,C,I am a Christian.,C,I am a musician.,C
I am male.,C,I am African American.,C,I am heterosexual.,C,I am left-handed.,C,I am an artist.,C,I am a Christian.,C,I am a soccer fan.,C,I am a student.,C,I am a vegetarian.,C,I am an environmentalist.,C
I am a father,R,I am a sister,R,I am an aunt,C,I am a friend,R,I am an artist,C,I am a student,C,I am a writer,C,I am a volunteer,C,I am a lover,C,I am a dreamer,C
I am a son/daughter.,R,I am a cousin.,R,I am a friend.,R,I am a student.,C,I am a teacher.,C,I am a business owner.,C,I am a professional.,C,I am a volunteer.,C,I am a neighbor.,R,I am an athlete.,C
I am a woman.,C,I am a student.,C,I am an athlete.,C,I am a parent.,R,I am a musician.,C,I am an artist.,C,I am a writer.,C,I am an entrepreneur.,C,I am a teacher.,C,I am a scientist.,C
I am a student.,C,I am a teacher.,C,I am an employee.,C,I am an entrepreneur.,C,I am a parent.,R,I am a manager.,C,I am a friend.,R,I am a leader.,C,I am an artist.,C,I am an athlete.,C
I am a son of single mother.,R,I am an introvert.,C,I am a Christian.,C,I am an athlete.,C,I am a movie buff.,C,I am an enthusiastic reader.,C,I am a food connoisseur.,C,I am a technology geek.,C,I am a fashionista.,C,I am a pet lover.,C
"I am a son, daughter, brother, or sister.",R,I am a student.,C,I am an employee.,C,I am a hobbyist.,C,I am an athlete.,C,I am a music lover.,C,I am an artist.,C,I am a pet owner.,C,I am a volunteer.,C,I am a reader.,C
I am a man.,C,I am a woman.,C,I am a student.,C,I am an entrepreneur.,C,I am a teacher.,C,I am religious.,C,I am political.,C,I am a musician.,C,I am an artist.,C,I am a sports enthusiast.,C
I am male.,C,I am female.,C,I am young.,C,I am old.,C,I am an artist.,C,I am a student.,C,I am a professional.,C,I am a parent.,R,I am a volunteer.,C,I am a friend.,R
I am an American citizen.,C,I am a father.,R,I am a Democrat.,C,I am a runner.,C,I am a software developer.,C,I am a musician.,C,I am a Christian.,C,I am a volunteer.,C,I am a gamer.,C,I am a surfer.,C
I am a father.,R,I am a college student.,C,I am an experienced professional.,C,I am a caring neighbor.,R,I am a loyal friend.,R,I am a volunteer.,C,I am an avid reader.,C,I am a keen photographer.,C,I am a passionate chef.,C,I am an active athlete.,C
I am a Christian.,C,I am an Asian-American.,C,I am a son/daughter.,R,I am a student.,C,I am a teacher.,C,I am an entrepreneur.,C,I am a sibling.,R,I am a friend.,R,I am a customer service representative.,C,I am a basketball fan.,C
I am a mother.,R,I am a daughter.,R,I am a sister.,R,I am a student.,C,I am an educator.,C,I am a Christian.,C,I am a Democrat.,C,I am an American.,C,I am an artist.,C,I am an entrepreneur.,C
I am a son/daughter.,R,I am an American/Canadian/Chinese/etc.,C,I am a student.,C,I am a Christian/Atheist/Hindu/agnostic/etc.,C,I am an artist/musician/writer/etc.,C,I am a Democrat/Republican/Independent/etc.,C,I am a sports fan.,C,I am a gamer.,C,I am a film buff.,C,I am a traveler.,C
I am a person who loves to travel.,C,I am an extrovert.,C,I am a musician.,C,I am a parent.,R,I am a student.,C,I am an athlete.,C,I am an artist.,C,I am an entrepreneur.,C,I am religious.,C,I am vegan.,C
I am a man.,C,I am an American.,C,I am a friend.,R,I am a Christian.,C,I am a student.,C,I am an artist.,C,I am a football fan.,C,I am a daughter.,R,I am a writer.,C,I am an environmentalist.,C
I am a father/mother,R,I am a friend,R,I am a student,C,I am an employee,C,I am a leader,C,I am a mentor,C,I am an artist,C,I am a writer,C,I am an athlete,C,I am a follower,C
I am female.,C,I am vegan.,C,I am a runner.,C,I am a student.,C,I am an artist.,C,I am a musician.,C,I am a parent.,R,I am an avid reader.,C,I am a Gamer.,C,I am an entrepreneur.,C
I am a woman.,C,I am a father.,R,I am an artist.,C,I am a college student.,C,I am a scientist.,C,I am liberal.,C,I am a Christian.,C,I am a runner.,C,I am a teacher.,C,I am an entrepreneur.,C
I am an American.,C,I am a Christian.,C,I am a student.,C,I am a First Nations person.,C,I am a Liberal.,C,I am an Athlete.,C,I am a Vegetarian.,C,I am an Artist.,C,I am a Gamer.,C,I am a Music Lover.,C
I am an independent thinker,C,I am a creative person,C,I am a reliable friend,R,I am a love-seeker,C,I am empathetic,C,I am an introvert,C,I am a spiritual being,C,I am a proud parent,R,I am a world citizen,C,I am a life-long learner,C
I am a woman.,C,I am a chemist.,C,I am a brother.,R,I am a vegetarian.,C,I am a Christian.,C,I am a computer programmer.,C,I am a student.,C,I am a Liberal.,C,I am a citizen of the United States.,C,I am an artist.,C
I am a student,C,I am a daughter/son,R,I am a friend,R,I am a victim of bullying,C,I am an aspiring musician,C,I am a lover of books,C,I am a leader,C,I am an artist,C,I am an athlete,C,I am a caregiver,C
I am female.,C,I am a student.,C,I am self-employed.,C,I am an athlete.,C,I am a Christian.,C,I am a parent.,R,I am politically independent.,C,I am an artist.,C,I am a traveler.,C,I am a friend.,R
I am a woman.,C,I am a writer.,C,I am a loving and attentive mother.,R,I am an artist.,C,I am a fan of basketball.,C,I am a professional accountant.,C,I am a disciplined student.,C,I am a respected leader.,C,I am a music aficionado.,C,I am an active member of a church.,C
I am a son.,R,I am a daughter.,R,I am a student.,C,I am a friend.,R,I am a teacher.,C,I am a musician.,C,I am an artist.,C,I am a parent.,R,I am an employee.,C,I am a citizen.,C
I am female.,C,I am a parent.,R,I am a college student.,C,I am a teacher.,C,I am Christian.,C,I am an artist.,C,I am American.,C,I am a runner.,C,I am a musician.,C,I am vegan.,C
I am a man,C,I am a woman,C,I am transgender,C,I am married,C,I am an artist,C,I am a student,C,I am a mother,R,I am a father,R,I am a Christian,C,I am a vegetarian,C
I am a student.,C,I am a teacher.,C,I am an athlete.,C,I am an artist.,C,I am a human.,C,I am a friend.,R,I am a neighbor.,R,I am a musician.,C,I am a dreamer.,C,I am a writer.,C
I am a college student.,C,I am a businessperson.,C,I am a mother/father/parent.,R,I am a professional athlete.,C,I am a teacher.,C,I am a musician.,C,I am an artist.,C,I am a writer.,C,I am a scientist.,C,I am a soldier.,C
I am a daughter/son.,R,I am a friend.,R,I am a student.,C,I am an artist.,C,I am a physician.,C,I am a teacher.,C,I am a scientist.,C,I am a programmer.,C,I am a musician.,C,I am an entrepreneur.,C
I am a man.,C,I am a woman.,C,I am Asian.,C,I am tall.,C,I am a student.,C,I am a Christian.,C,I am a parent.,R,I am an educated professional.,C,I am a runner.,C,I am a painter.,C
I am a daughter.,R,I am an artist.,C,I am a student.,C,I am a writer.,C,I am an athlete.,C,I am a musician.,C,I am a friend.,R,I am a sister.,R,I am a teacher.,C,I am a scientist.,C
I am a woman.,C,I am an artist.,C,I am a musician.,C,I am a book lover.,C,I am a runner.,C,I am a computer programmer.,C,I am an engineer.,C,I am a teacher.,C,I am a student.,C,I am a environmental activist.,C
I am an artist.,C,I am a student.,C,I am a sister.,R,I am a teacher.,C,I am a friend.,R,I am a doctor.,C,I am a mother.,R,I am a poet.,C,I am an engineer.,C,I am a musician.,C
I am my height.,C,I am my hair color.,C,I am my race.,C,I am my religion.,C,I am my native language.,C,I am my educational background.,C,I am my job title and occupation.,C,I am my shoe size.,C,I am my marital status.,C,I am my hobbies and interests.,C
I am a son/daughter.,R,I am an employee.,C,I am a student.,C,I am a friend.,R,I am a husband/wife.,R,I am a parent.,R,I am a brother/sister.,R,I am a hobbyist.,C,I am a coworker.,R,I am a citizen.,C
I am a daughter.,R,I am a mother.,R,I am a Christian.,C,I am a nurse.,C,I am an artist.,C,I am a lawyer.,C,I am a musician.,C,I am a teacher.,C,I am a scientist.,C,I am a writer.,C
I am a man.,C,I am a woman.,C,I am a child.,R,I am a senior citizen.,C,I am Catholic.,C,I am African American.,C,I am a Democrat.,C,I am a Republican.,C,I am disabled.,C,I am a college student.,C
I am a daughter or son.,R,I am a friend.,R,I am a student.,C,I am an employee.,C,I am a spouse.,R,I am an adult.,C,I am a sibling.,R,I am a parent.,R,I am an athlete.,C,I am a neighbor.,R
